Country Name,Country Code,Indicator Name,Indicator Code,LatestGini
Angola,AGO,Gini index,SI.POV.GINI,51.3
Albania,ALB,Gini index,SI.POV.GINI,29.4
United Arab Emirates,ARE,Gini index,SI.POV.GINI,26
Argentina,ARG,Gini index,SI.POV.GINI,40.7
Armenia,ARM,Gini index,SI.POV.GINI,27.9
Australia,AUS,Gini index,SI.POV.GINI,34.3
Austria,AUT,Gini index,SI.POV.GINI,30.7
Burundi,BDI,Gini index,SI.POV.GINI,37.5
Belgium,BEL,Gini index,SI.POV.GINI,26.6
Benin,BEN,Gini index,SI.POV.GINI,34.4
Burkina Faso,BFA,Gini index,SI.POV.GINI,37.4
Bangladesh,BGD,Gini index,SI.POV.GINI,33.4
Bulgaria,BGR,Gini index,SI.POV.GINI,39
Belarus,BLR,Gini index,SI.POV.GINI,24.4
Bolivia,BOL,Gini index,SI.POV.GINI,40.9
Brazil,BRA,Gini index,SI.POV.GINI,52
Bhutan,BTN,Gini index,SI.POV.GINI,28.5
Botswana,BWA,Gini index,SI.POV.GINI,53.3
Central African Republic,CAF,Gini index,SI.POV.GINI,43
Canada,CAN,Gini index,SI.POV.GINI,31.7
Switzerland,CHE,Gini index,SI.POV.GINI,33.7
Chile,CHL,Gini index,SI.POV.GINI,43
China,CHN,Gini index,SI.POV.GINI,37.1
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,35.3
Cameroon,CMR,Gini index,SI.POV.GINI,42.2
"Congo, Dem. Rep.",COD,Gini index,SI.POV.GINI,44.7
Colombia,COL,Gini index,SI.POV.GINI,54.8
Comoros,COM,Gini index,SI.POV.GINI,45.3
Cabo Verde,CPV,Gini index,SI.POV.GINI,42.4
Costa Rica,CRI,Gini index,SI.POV.GINI,47.2
Cyprus,CYP,Gini index,SI.POV.GINI,31.3
Czechia,CZE,Gini index,SI.POV.GINI,26.2
Germany,DEU,Gini index,SI.POV.GINI,
Djibouti,DJI,Gini index,SI.POV.GINI,41.6
Denmark,DNK,Gini index,SI.POV.GINI,28.3
Dominican Republic,DOM,Gini index,SI.POV.GINI,37
Ecuador,ECU,Gini index,SI.POV.GINI,45.5
"Egypt, Arab Rep.",EGY,Gini index,SI.POV.GINI,31.9
Spain,ESP,Gini index,SI.POV.GINI,33.9
Estonia,EST,Gini index,SI.POV.GINI,31.8
Ethiopia,ETH,Gini index,SI.POV.GINI,35
