journal,discipline,papers
URBAN STUDIES,URBREG,5
DEMOGRAPHY,DEMO,4
SOCIAL PROBLEMS,SOC,3
JOURNAL OF REGIONAL SCIENCE,URBREG,3
AMERICAN JOURNAL OF SOCIOLOGY,SOC,2
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,CRIMEPID,2
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,ECON,2
SOCIAL FORCES,SOC,2
SOCIO-ECONOMIC SEGREGATION IN EUROPEAN CAPITAL CITIES: EAST MEETS WEST,GEOG,2
RSF-THE RUSSELL SAGE JOURNAL OF THE SOCIAL SCIENCES,SOC,2
JOURNAL OF URBAN AFFAIRS,URBREG,2
ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE,GEOG,2
SOCIAL SCIENCE RESEARCH,SOC,2
AMERICAN SOCIOLOGICAL REVIEW,SOC,2
REVIEW OF INCOME AND WEALTH,ECON,1
SOCIOLOGICAL SCIENCE,SOC,1
ECONOMIC GEOGRAPHY,GEOG,1
EUROPEAN PHYSICAL JOURNAL B,PHYMAT,1
SOCIOLOGY OF EDUCATION,SOC,1
JOURNAL OF POPULATION ECONOMICS,ECON,1
JOURNAL OF PUBLIC ECONOMICS,ECON,1
REGIONAL STUDIES,URBREG,1
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,OTHER,1
INTERNATIONAL JOURNAL OF COMPARATIVE AND APPLIED CRIMINAL JUSTICE,CRIMEPID,1
CUADERNOS DE VIVIENDA Y URBANISMO,URBREG,1
AREA,GEOG,1
AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,ECON,1
JOURNAL OF PUBLIC ECONOMIC THEORY,ECON,1
REVIEW OF DEVELOPMENT ECONOMICS,ECON,1
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,OTHER,1
LATIN AMERICAN RESEARCH REVIEW,OTHER,1
SOCIOLOGY OF RACE AND ETHNICITY,SOC,1
MATHEMATICS,PHYMAT,1
HOUSING STUDIES,URBREG,1
URBAN PLANNING,URBREG,1
PAPERS IN REGIONAL SCIENCE,URBREG,1
AUSTRALIAN ECONOMIC PAPERS,ECON,1
AFRICAN GEOGRAPHICAL REVIEW,GEOG,1
POPULATION AND ENVIRONMENT,DEMO,1
POPULATION SPACE AND PLACE,DEMO,1
HIGHER EDUCATION POLICY,OTHER,1
PLOS ONE,OTHER,1
QUARTERLY JOURNAL OF ECONOMICS,ECON,1
CRIMINOLOGY,CRIMEPID,1
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,PHYMAT,1
JOURNAL OF MATHEMATICAL SOCIOLOGY,SOC,1
ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,OTHER,1
EUROPEAN SOCIOLOGICAL REVIEW,SOC,1
LABOUR ECONOMICS,ECON,1
ECONOMIC PAPERS,ECON,1
URBAN GEOGRAPHY,GEOG,1
DISCRETE DYNAMICS IN NATURE AND SOCIETY,OTHER,1
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,ECON,1
JOURNAL OF ECONOMIC INTERACTION AND COORDINATION,ECON,1
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,ECON,1
AMERICAN POLITICS RESEARCH,OTHER,1
JOURNAL OF MONETARY ECONOMICS,ECON,1
BUFFALO LAW REVIEW,OTHER,1
SOCIAL SCIENCE & MEDICINE,CRIMEPID,1
